DateCode,CV19_deaths,All_deaths
2019-12-30,0,166
2020-01-06,0,196
2020-01-13,0,155
2020-01-20,0,165
2020-01-27,0,154
2020-02-03,0,191
2020-02-10,0,171
2020-02-17,0,152
2020-02-24,0,171
2020-03-02,0,166
2020-03-09,0,182
2020-03-16,2,169
2020-03-23,7,144
2020-03-30,32,228
2020-04-06,108,313
2020-04-13,107,268
